media,polarity,normalized_polarity,tags,pos,neu,neg
ABC News,"[ 0.03333333 -0.23809524 -0.66666667  1.          0.17703349  0.8
  0.6         0.26666667  0.58333333  0.33333333  0.22222222  0.71428571
 -0.30094044  0.85714286  0.36538462 -0.4         0.4         0.41414141
  0.75641026 -0.16666667  0.72352941  0.05555556  0.18461538 -0.55555556
  0.45454545  0.75        0.01960784  0.44871795  0.53333333  0.46428571
  0.025       0.43636364  0.31724138 -0.29444444 -0.11538462  0.5
 -0.12962963  0.54545455  0.83333333  0.6         0.06709957  1.
  0.55555556  0.45648604 -0.48        0.73333333  0.28787879  0.63636364
  0.90909091  0.68589744]","[-0.25755595 -0.52898452 -0.95755595  0.70911072 -0.11385579  0.50911072
  0.30911072 -0.02422262  0.29244405  0.04244405 -0.06866706  0.42339643
 -0.59182972  0.56625357  0.07449533 -0.69088928  0.10911072  0.12325213
  0.46552097 -0.45755595  0.43264013 -0.23533373 -0.1062739  -0.84644484
  0.16365617  0.45911072 -0.27128144  0.15782866  0.24244405  0.17339643
 -0.26588928  0.14547435  0.02635209 -0.58533373 -0.4062739   0.20911072
 -0.42051891  0.25456526  0.54244405  0.30911072 -0.22378972  0.70911072
  0.26466627  0.16559676 -0.77088928  0.44244405 -0.0030105   0.34547435
  0.61820162  0.39500815]","[-1. -1. -1.  1.  0.  1.  1.  0.  1.  0.  0.  1. -1.  1.  0. -1.  0.  0.
  1. -1.  1. -1.  0. -1.  0.  1. -1.  0.  1.  0. -1.  0.  0. -1. -1.  1.
 -1.  1.  1.  1. -1.  1.  1.  0. -1.  1.  0.  1.  1.  1.]",0.4,0.3,0.3
CBS News,"[ 0.          0.8         0.55        0.25        0.71428571  0.41666667
 -0.92307692 -0.75        0.          0.66666667  0.16666667  0.5
  0.33333333  0.2027972  -0.8         0.35714286  0.05128205  0.5
 -0.03846154 -1.          0.46666667  0.24761905  0.41269841  0.4
  0.        ]","[-0.29088928  0.50911072  0.25911072 -0.04088928  0.42339643  0.12577738
 -1.21396621 -1.04088928 -0.29088928  0.37577738 -0.12422262  0.20911072
  0.04244405 -0.08809208 -1.09088928  0.06625357 -0.23960723  0.20911072
 -0.32935082 -1.29088928  0.17577738 -0.04327024  0.12180913  0.10911072
 -0.29088928]","[-1.  1.  1.  0.  1.  0. -1. -1. -1.  1.  0.  1.  0.  0. -1.  0. -1.  1.
 -1. -1.  0.  0.  0.  0. -1.]",0.24,0.4,0.36
CNN,"[ 0.3        -0.16666667  0.34299517  0.14        0.45217391  0.38636364
  0.67460317  0.56730769  0.28571429  0.54761905 -0.16666667  0.28050314
  0.25595238  0.02430556  0.14102564  0.00932401  0.38471178  0.36134454
  0.41666667 -0.38888889  0.51470588]","[ 0.00911072 -0.45755595  0.05210588 -0.15088928  0.16128463  0.09547435
  0.38371389  0.27641841 -0.005175    0.25672976 -0.45755595 -0.01038614
 -0.0349369  -0.26658373 -0.14986364 -0.28156528  0.09382249  0.07045525
  0.12577738 -0.67977817  0.2238166 ]","[ 0. -1.  0.  0.  0.  0.  1.  1.  0.  1. -1.  0.  0. -1.  0. -1.  0.  0.
  0. -1.  1.]",0.19047619047619047,0.5714285714285714,0.23809523809523808
Fox News,"[ 0.38636364  0.625       0.66666667 -0.4122807   0.          0.
  0.29166667 -0.16666667  0.5         0.16666667  0.63157895  0.5
  0.75        0.53174603  0.5         0.          0.71031746  0.01754386
  0.63333333 -0.63636364 -0.11111111  0.73333333 -0.50925926 -0.19047619
 -0.16666667 -0.5         0.54516129  1.          0.16666667 -0.5
 -0.13450292  0.         -0.16666667  0.          0.66666667]","[ 9.54743515e-02  3.34110715e-01  3.75777382e-01 -7.03169987e-01
 -2.90889285e-01 -2.90889285e-01  7.77381760e-04 -4.57555952e-01
  2.09110715e-01 -1.24222618e-01  3.40689662e-01  2.09110715e-01
  4.59110715e-01  2.40856747e-01  2.09110715e-01 -2.90889285e-01
  4.19428175e-01 -2.73345425e-01  3.42444048e-01 -9.27252921e-01
 -4.02000396e-01  4.42444048e-01 -8.00148544e-01 -4.81365475e-01
 -4.57555952e-01 -7.90889285e-01  2.54272005e-01  7.09110715e-01
 -1.24222618e-01 -7.90889285e-01 -4.25392209e-01 -2.90889285e-01
 -4.57555952e-01 -2.90889285e-01  3.75777382e-01]","[ 0.  1.  1. -1. -1. -1.  0. -1.  1.  0.  1.  1.  1.  1.  1. -1.  1. -1.
  1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  0. -1. -1. -1. -1. -1.  1.]",0.4,0.11428571428571427,0.4857142857142857
Huffington Post,"[ 0.4        -0.53846154 -0.65277778  1.         -0.625       0.09166667
  0.17139526  0.43571429  0.5         0.125       0.5         0.58333333
  0.02356902  1.          0.51325758  0.1        -0.1       ]","[ 0.10911072 -0.82935082 -0.94366706  0.70911072 -0.91588928 -0.19922262
 -0.11949403  0.144825    0.20911072 -0.16588928  0.20911072  0.29244405
 -0.26732026  0.70911072  0.22236829 -0.19088928 -0.39088928]",[ 0. -1. -1.  1. -1.  0.  0.  0.  1.  0.  1.  1. -1.  1.  1.  0. -1.],0.35294117647058826,0.35294117647058815,0.29411764705882354
Los Angeles Times,"[ 0.15119363  0.58823529  0.10784314  0.44074074 -0.02136752  0.50179211
  0.          0.31623932  0.2962963   0.16589862  0.28275862  0.45833333
  0.6         0.59627329  0.3030303  -0.25        0.40022173 -0.41666667
  1.          0.33333333 -0.375      -0.5         0.125       0.49404762
  0.          0.40131579 -0.35714286  0.48366013 -0.27777778  0.63131313
  0.25641026  0.5         0.16666667 -0.41666667  0.48148148 -0.44444444
  0.54273504  0.21620012 -0.5         1.          0.41666667  0.5
  0.5        -0.77777778  0.41666667  0.17497136  0.31496919  0.29487179
 -0.07142857  0.32183908  0.28342246  0.13049451  0.20606061  0.29166667
  0.1875     -0.1969697   0.07407407  0.1780303  -0.6         0.06666667
  0.5125      0.5         0.47368421  0.85714286 -0.56666667  0.30791789
  0.3021978   0.5         0.18478261  0.49714286  0.1         0.23809524
  0.11818182  0.         -0.5       ]","[-1.39695651e-01  2.97346009e-01 -1.83046148e-01  1.49851456e-01
 -3.12256806e-01  2.10902830e-01 -2.90889285e-01  2.53500313e-02
  5.40701139e-03 -1.24990667e-01 -8.13066422e-03  1.67444048e-01
  3.09110715e-01  3.05384007e-01  1.21410181e-02 -5.40889285e-01
  1.09332445e-01 -7.07555952e-01  7.09110715e-01  4.24440484e-02
 -6.65889285e-01 -7.90889285e-01 -1.65889285e-01  2.03158334e-01
 -2.90889285e-01  1.10426505e-01 -6.48032142e-01  1.92770846e-01
 -5.68667063e-01  3.40423846e-01 -3.44790285e-02  2.09110715e-01
 -1.24222618e-01 -7.07555952e-01  1.90592197e-01 -7.35333729e-01
  2.51845758e-01 -7.46891658e-02 -7.90889285e-01  7.09110715e-01
  1.25777382e-01  2.09110715e-01  2.09110715e-01 -1.06866706e+00
  1.25777382e-01 -1.15917922e-01  2.40799068e-02  3.98250997e-03
 -3.62317856e-01  3.09497956e-02 -7.46682501e-03 -1.60394779e-01
 -8.48286788e-02  7.77381760e-04 -1.03389285e-01 -4.87858982e-01
 -2.16815211e-01 -1.12858982e-01 -8.90889285e-01 -2.24222618e-01
  2.21610715e-01  2.09110715e-01  1.82794926e-01  5.66253572e-01
 -8.57555952e-01  1.70286037e-02  1.13085173e-02  2.09110715e-01
 -1.06106676e-01  2.06253572e-01 -1.90889285e-01 -5.27940468e-02
 -1.72707467e-01 -2.90889285e-01 -7.90889285e-01]","[ 0.  1.  0.  0. -1.  1. -1.  0.  0.  0.  0.  0.  1.  1.  0. -1.  0. -1.
  1.  0. -1. -1.  0.  1. -1.  0. -1.  0. -1.  1.  0.  1.  0. -1.  0. -1.
  1.  0. -1.  1.  0.  1.  1. -1.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.
  0. -1. -1.  0. -1. -1.  1.  1.  0.  1. -1.  0.  0.  1.  0.  1.  0.  0.
  0. -1. -1.]",0.22666666666666666,0.4933333333333333,0.28
NPR,"[ 0.8        -0.025       0.08333333  1.          0.28        0.78571429
  0.51557465 -0.22        0.5989011   0.28571429  0.37179487  0.28282828]","[ 0.50911072 -0.31588928 -0.20755595  0.70911072 -0.01088928  0.494825
  0.22468537 -0.51088928  0.30801181 -0.005175    0.08090559 -0.008061  ]",[ 1. -1. -1.  1.  0.  1.  1. -1.  1.  0.  0.  0.],0.4166666666666667,0.33333333333333326,0.25
New York Post,"[ 0.          0.91666667 -0.25       -0.08333333  0.5         0.66666667
  0.          0.16666667 -0.08333333  0.71428571  0.6        -0.31428571
 -0.38888889  0.33333333 -0.25        0.33333333 -0.05        0.67272727
  0.          0.25        0.125      -0.75        1.          0.75      ]","[-0.29088928  0.62577738 -0.54088928 -0.37422262  0.20911072  0.37577738
 -0.29088928 -0.12422262 -0.37422262  0.42339643  0.30911072 -0.605175
 -0.67977817  0.04244405 -0.54088928  0.04244405 -0.34088928  0.38183799
 -0.29088928 -0.04088928 -0.16588928 -1.04088928  0.70911072  0.45911072]","[-1.  1. -1. -1.  1.  1. -1.  0. -1.  1.  1. -1. -1.  0. -1.  0. -1.  1.
 -1.  0.  0. -1.  1.  1.]",0.3333333333333333,0.20833333333333343,0.4583333333333333
Politico,"[ 0.52517007  0.45454545  0.5         0.41666667  0.32539683 -0.375
  0.33333333  0.4         0.46666667  0.29285714  0.42857143 -0.02380952
  0.62834225 -0.8         0.57142857  0.8         0.76190476  0.12454212
  0.0297619   0.66666667 -0.25        0.9         0.28333333  0.57142857
  0.77777778 -0.30769231  0.4968815   0.37254902  0.5         0.375
  0.58333333 -1.          0.36435169  0.4683908   0.41414141  0.18181818
  0.41428571  0.2         0.08446456  0.1         0.66666667  0.41666667
 -0.40178571  0.28793103 -0.63636364 -0.27777778  0.43315508 -0.34615385
  0.7         0.75       -0.16666667  0.23611111 -0.36666667  0.5
  0.16477273  0.63888889  0.32222222  0.3        -0.26666667  0.39393939
  0.24054054  0.41666667  0.66666667  0.16666667 -0.08333333  0.45352564
  0.58982512]","[ 0.23428078  0.16365617  0.20911072  0.12577738  0.03450754 -0.66588928
  0.04244405  0.10911072  0.17577738  0.00196786  0.13768214 -0.31469881
  0.33745296 -1.09088928  0.28053929  0.50911072  0.47101548 -0.16634716
 -0.26112738  0.37577738 -0.54088928  0.60911072 -0.00755595  0.28053929
  0.48688849 -0.59858159  0.20599221  0.08165973  0.20911072  0.08411072
  0.29244405 -1.29088928  0.07346241  0.17750152  0.12325213 -0.1090711
  0.12339643 -0.09088928 -0.20642473 -0.19088928  0.37577738  0.12577738
 -0.692675   -0.00295825 -0.92725292 -0.56866706  0.1422658  -0.63704313
  0.40911072  0.45911072 -0.45755595 -0.05477817 -0.65755595  0.20911072
 -0.12611656  0.3479996   0.03133294  0.00911072 -0.55755595  0.10305011
 -0.05034874  0.12577738  0.37577738 -0.12422262 -0.37422262  0.16263636
  0.29893583]","[ 1.  0.  1.  0.  0. -1.  0.  0.  0.  0.  0. -1.  1. -1.  1.  1.  1.  0.
 -1.  1. -1.  1.  0.  1.  1. -1.  1.  0.  1.  0.  1. -1.  0.  0.  0.  0.
  0.  0. -1.  0.  1.  0. -1.  0. -1. -1.  0. -1.  1.  1. -1.  0. -1.  1.
  0.  1.  0.  0. -1.  0.  0.  0.  1.  0. -1.  0.  1.]",0.29850746268656714,0.4626865671641791,0.23880597014925373
Quartz,"[ 0.7         0.         -0.03333333  0.8         0.03636364 -0.3
  0.3         0.76923077  0.14814815  0.4483871   0.29411765  0.27272727
 -0.66666667  0.16267943  0.         -0.12698413]","[ 0.40911072 -0.29088928 -0.32422262  0.50911072 -0.25452565 -0.59088928
  0.00911072  0.47834148 -0.14274114  0.15749781  0.00322836 -0.01816201
 -0.95755595 -0.12820986 -0.29088928 -0.41787341]",[ 1. -1. -1.  1. -1. -1.  0.  1.  0.  0.  0.  0. -1.  0. -1. -1.],0.1875,0.375,0.4375
