media,polarity,normalized_polarity,tags,pos,neu,neg
ABC News,"[ 0.03333333 -0.23809524 -0.66666667  1.          0.17703349  0.8
  0.6         0.45454545  0.75        0.01960784  0.44871795  0.53333333
  0.46428571  0.025       0.43636364  0.31724138 -0.29444444 -0.11538462
  0.5        -0.12962963  0.54545455  0.83333333  0.6         0.06709957
  1.          0.55555556  0.45648604 -0.48        0.73333333  0.28787879
  0.63636364  0.90909091  0.68589744]","[-0.24628481 -0.51771338 -0.94628481  0.72038186 -0.10258465  0.52038186
  0.32038186  0.17492731  0.47038186 -0.2600103   0.1690998   0.25371519
  0.18466757 -0.25461814  0.15674549  0.03762324 -0.57406259 -0.39500276
  0.22038186 -0.40924777  0.2658364   0.55371519  0.32038186 -0.21251858
  0.72038186  0.27593741  0.1768679  -0.75961814  0.45371519  0.00826064
  0.35674549  0.62947277  0.40627929]","[-1. -1. -1.  1.  0.  1.  1.  0.  1. -1.  0.  1.  0. -1.  0.  0. -1. -1.
  1. -1.  1.  1.  1. -1.  1.  1.  0. -1.  1.  0.  1.  1.  1.]",0.45454545454545453,0.24242424242424238,0.30303030303030304
CBS News,"[ 0.          0.8         0.55        0.25        0.71428571  0.41666667
 -0.92307692 -0.75        0.          0.35714286  0.05128205  0.5
 -0.03846154 -1.          0.46666667  0.24761905  0.41269841  0.4
  0.        ]","[-0.27961814  0.52038186  0.27038186 -0.02961814  0.43466757  0.13704852
 -1.20269507 -1.02961814 -0.27961814  0.07752471 -0.22833609  0.22038186
 -0.31807968 -1.27961814  0.18704852 -0.0319991   0.13308027  0.12038186
 -0.27961814]","[-1.  1.  1.  0.  1.  0. -1. -1. -1.  0. -1.  1. -1. -1.  0.  0.  0.  0.
 -1.]",0.21052631578947367,0.368421052631579,0.42105263157894735
CNN,"[ 0.3        -0.16666667  0.54761905 -0.16666667  0.28050314  0.25595238
  0.02430556  0.14102564  0.00932401  0.38471178  0.36134454  0.41666667
 -0.38888889  0.51470588]","[ 0.02038186 -0.44628481  0.2680009  -0.44628481  0.000885   -0.02366576
 -0.25531259 -0.1385925  -0.27029413  0.10509364  0.08172639  0.13704852
 -0.66850703  0.23508774]",[ 0. -1.  1. -1.  0.  0. -1.  0. -1.  0.  0.  0. -1.  1.],0.14285714285714285,0.5,0.35714285714285715
Fox News,"[ 0.38636364  0.625       0.66666667 -0.4122807   0.01754386  0.63333333
 -0.63636364 -0.11111111  0.73333333 -0.50925926 -0.19047619 -0.16666667
 -0.5         0.54516129  1.          0.16666667 -0.5        -0.13450292
  0.         -0.16666667  0.          0.66666667]","[ 0.10674549  0.34538186  0.38704852 -0.69189885 -0.26207428  0.35371519
 -0.91598178 -0.39072926  0.45371519 -0.7888774  -0.47009433 -0.44628481
 -0.77961814  0.26554315  0.72038186 -0.11295148 -0.77961814 -0.41412107
 -0.27961814 -0.44628481 -0.27961814  0.38704852]","[ 0.  1.  1. -1. -1.  1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  0. -1. -1.
 -1. -1. -1.  1.]",0.3181818181818182,0.09090909090909094,0.5909090909090909
Huffington Post,"[ 0.4        -0.53846154 -0.65277778  1.         -0.625       0.09166667
  0.17139526  0.5         0.58333333  0.02356902  1.          0.51325758
  0.1        -0.1       ]","[ 0.12038186 -0.81807968 -0.93239592  0.72038186 -0.90461814 -0.18795148
 -0.10822289  0.22038186  0.30371519 -0.25604912  0.72038186  0.23363943
 -0.17961814 -0.37961814]",[ 0. -1. -1.  1. -1.  0.  0.  1.  1. -1.  1.  1.  0. -1.],0.35714285714285715,0.28571428571428564,0.35714285714285715
Los Angeles Times,"[ 0.15119363  0.58823529  0.10784314  0.44074074 -0.02136752  0.50179211
  0.          0.31623932  0.2962963   0.16589862  0.28275862  0.45833333
  0.6         0.59627329 -0.5         1.          0.41666667  0.5
  0.5        -0.77777778  0.41666667  0.17497136  0.31496919  0.29487179
 -0.07142857  0.32183908  0.28342246  0.13049451  0.20606061  0.29166667
  0.1875     -0.1969697   0.07407407  0.1780303  -0.6         0.06666667
  0.5125      0.5         0.47368421  0.85714286 -0.56666667  0.30791789
  0.3021978   0.5         0.18478261  0.49714286  0.1         0.23809524
  0.11818182  0.         -0.5       ]","[-0.12842451  0.30861715 -0.17177501  0.1611226  -0.30098567  0.22217397
 -0.27961814  0.03662117  0.01667815 -0.11371953  0.00314048  0.17871519
  0.32038186  0.31665515 -0.77961814  0.72038186  0.13704852  0.22038186
  0.22038186 -1.05739592  0.13704852 -0.10464678  0.03535105  0.01525365
 -0.35104672  0.04222094  0.00380432 -0.14912364 -0.07355754  0.01204852
 -0.09211814 -0.47658784 -0.20554407 -0.10158784 -0.87961814 -0.21295148
  0.23288186  0.22038186  0.19406607  0.57752471 -0.84628481  0.02829974
  0.02257966  0.22038186 -0.09483554  0.21752471 -0.17961814 -0.04152291
 -0.16143633 -0.27961814 -0.77961814]","[ 0.  1.  0.  0. -1.  1. -1.  0.  0.  0.  0.  0.  1.  1. -1.  1.  0.  1.
  1. -1.  0.  0.  0.  0. -1.  0.  0.  0.  0.  0.  0. -1. -1.  0. -1. -1.
  1.  1.  0.  1. -1.  0.  0.  1.  0.  1.  0.  0.  0. -1. -1.]",0.23529411764705882,0.5294117647058822,0.23529411764705882
NPR,"[ 0.8        -0.025       0.08333333 -0.22        0.5989011   0.28571429
  0.37179487  0.28282828]","[ 0.52038186 -0.30461814 -0.19628481 -0.49961814  0.31928296  0.00609614
  0.09217673  0.00321014]",[ 1. -1.  0. -1.  1.  0.  0.  0.],0.25,0.5,0.25
New York Post,"[ 0.          0.91666667 -0.25       -0.08333333  0.5         0.66666667
  0.         -0.38888889  0.33333333 -0.25        0.33333333 -0.05
  0.67272727  0.          0.25        0.125      -0.75        1.
  0.75      ]","[-0.27961814  0.63704852 -0.52961814 -0.36295148  0.22038186  0.38704852
 -0.27961814 -0.66850703  0.05371519 -0.52961814  0.05371519 -0.32961814
  0.39310913 -0.27961814 -0.02961814 -0.15461814 -1.02961814  0.72038186
  0.47038186]","[-1.  1. -1. -1.  1.  1. -1. -1.  0. -1.  0. -1.  1. -1.  0.  0. -1.  1.
  1.]",0.3157894736842105,0.21052631578947373,0.47368421052631576
Politico,"[ 0.52517007  0.45454545  0.5         0.41666667  0.32539683 -0.375
  0.33333333  0.4         0.46666667  0.29285714  0.42857143 -0.02380952
  0.62834225 -0.8         0.57142857  0.8         0.76190476  0.12454212
  0.0297619   0.28793103 -0.63636364 -0.27777778  0.43315508 -0.34615385
  0.7         0.75       -0.16666667  0.23611111 -0.36666667  0.5
  0.16477273  0.63888889  0.32222222  0.3        -0.26666667  0.39393939
  0.24054054  0.41666667  0.66666667  0.16666667 -0.08333333  0.45352564
  0.58982512]","[ 0.24555192  0.17492731  0.22038186  0.13704852  0.04577868 -0.65461814
  0.05371519  0.12038186  0.18704852  0.013239    0.14895328 -0.30342767
  0.3487241  -1.07961814  0.29181043  0.52038186  0.48228662 -0.15507602
 -0.24985624  0.00831289 -0.91598178 -0.55739592  0.15353694 -0.62577199
  0.42038186  0.47038186 -0.44628481 -0.04350703 -0.64628481  0.22038186
 -0.11484542  0.35927074  0.04260408  0.02038186 -0.54628481  0.11432125
 -0.0390776   0.13704852  0.38704852 -0.11295148 -0.36295148  0.1739075
  0.31020698]","[ 1.  0.  1.  0.  0. -1.  0.  0.  0.  0.  0. -1.  1. -1.  1.  1.  1.  0.
 -1.  0. -1. -1.  0. -1.  1.  1. -1.  0. -1.  1.  0.  1.  0.  0. -1.  0.
  0.  0.  1.  0. -1.  0.  1.]",0.27906976744186046,0.4651162790697674,0.2558139534883721
Quartz,"[ 0.7         0.         -0.03333333  0.14814815  0.4483871   0.29411765
  0.27272727 -0.66666667  0.16267943  0.         -0.12698413]","[ 0.42038186 -0.27961814 -0.31295148 -0.13147     0.16876895  0.0144995
 -0.00689087 -0.94628481 -0.11693872 -0.27961814 -0.40660227]",[ 1. -1. -1.  0.  0.  0.  0. -1.  0. -1. -1.],0.09090909090909091,0.45454545454545453,0.45454545454545453
