media,polarity,normalized_polarity,tags,pos,neu,neg
ABC News,"[ 0.35       -0.06666667  0.17703349 -0.25        0.5         0.01960784
  0.9         0.31724138  0.18128655  0.5        -0.12087912  0.29545455
  0.6       ]","[ 0.01195574 -0.40471092 -0.16101076 -0.58804426  0.16195574 -0.31843641
  0.56195574 -0.02080288 -0.15675771  0.16195574 -0.45892338 -0.04258971
  0.26195574]",[ 0. -1.  0. -1.  0. -1.  1.  0.  0.  0. -1.  0.  1.],0.15384615384615385,0.5384615384615384,0.3076923076923077
CBS News,[ 0.          0.27777778  0.05128205 -0.10416667  0.72222222  0.41269841],[-0.33804426 -0.06026648 -0.28676221 -0.44221092  0.38417796  0.07465416],[-1.  0. -1. -1.  1.  0.],0.16666666666666666,0.33333333333333337,0.5
CNN,[ 0.67460317  0.28571429  0.12142857  0.14102564 -0.38888889  0.51470588],[ 0.33655892 -0.05232997 -0.21661569 -0.19701862 -0.72693315  0.17666162],[ 1.  0. -1.  0. -1.  0.],0.16666666666666666,0.5,0.3333333333333333
Fox News,"[ 0.07058824 -0.57142857  0.75        0.54945055  0.75        0.5
  0.66666667]","[-0.26745602 -0.90947283  0.41195574  0.21140629  0.41195574  0.16195574
  0.32862241]",[-1. -1.  1.  1.  1.  0.  1.],0.5714285714285714,0.1428571428571429,0.2857142857142857
Huffington Post,"[ 0.4        -0.66666667 -0.625       0.64285714  0.17139526  0.5
  0.5         0.5         0.02356902  0.46666667 -0.4375      0.1
 -0.1       ]","[ 0.06195574 -1.00471092 -0.96304426  0.30481289 -0.166649    0.16195574
  0.16195574  0.16195574 -0.31447523  0.12862241 -0.77554426 -0.23804426
 -0.43804426]",[ 0. -1. -1.  1.  0.  0.  0.  0. -1.  0. -1. -1. -1.],0.07692307692307693,0.46153846153846156,0.46153846153846156
Los Angeles Times,"[-1.          0.10784314 -0.0952381   0.3627451   0.31623932  0.04545455
  0.2962963   0.29824561  0.29545455  0.84210526  0.70588235 -0.25
  0.13461538  0.73333333 -0.33333333  0.42857143  1.          0.25641026
  0.54273504  0.33333333  0.84210526  0.21620012  1.         -0.77777778
  0.17497136  0.31496919  0.22558923  0.32183908  0.20606061  0.29166667
  0.07407407  0.5125      0.10822511  0.25        0.30791789 -0.32
  0.3021978   0.1         0.69852941  0.23809524]","[-1.33804426 -0.23020112 -0.43328235  0.02470084 -0.02180494 -0.29258971
 -0.04174796 -0.03979864 -0.04258971  0.50406101  0.3678381  -0.58804426
 -0.20342887  0.39528908 -0.67137759  0.09052717  0.66195574 -0.081634
  0.20469079 -0.00471092  0.50406101 -0.12184414  0.66195574 -1.11582204
 -0.16307289 -0.02307507 -0.11245503 -0.01620518 -0.13198365 -0.04637759
 -0.26397018  0.17445574 -0.22981915 -0.08804426 -0.03012637 -0.65804426
 -0.03584646 -0.23804426  0.36048515 -0.09994902]","[-1. -1. -1.  0.  0. -1.  0.  0.  0.  1.  1. -1. -1.  1. -1.  0.  1.  0.
  1.  0.  1.  0.  1. -1.  0.  0.  0.  0.  0.  0. -1.  0. -1.  0.  0. -1.
  0. -1.  1.  0.]",0.2,0.5,0.3
NPR,"[ 0.74242424  0.33846154  0.5625      0.22811671  0.28       -0.22
  0.18787879  0.68923077  0.28571429  0.86561265  0.82608696  0.58571429]","[ 4.04379985e-01  4.17281043e-04  2.24455743e-01 -1.09927547e-01
 -5.80442574e-02 -5.58044257e-01 -1.50165470e-01  3.51186512e-01
 -5.23299717e-02  5.27568391e-01  4.88042699e-01  2.47670028e-01]",[ 1.  0.  1.  0.  0. -1.  0.  1.  0.  1.  1.  1.],0.5,0.4166666666666667,0.08333333333333333
New York Post,[ 0.375  0.    -0.05   0.175],[ 0.03695574 -0.33804426 -0.38804426 -0.16304426],[ 0. -1. -1.  0.],0.0,0.5,0.5
Politico,"[ 0.45080092  0.25536062 -0.16666667  0.20779221  0.29285714  0.125
  0.62834225  0.32291667  0.76190476  0.9         0.28333333  0.4047619
  0.65151515  0.4968815   0.78021978  0.54166667  0.4683908   0.80769231
  0.02        0.08446456  0.86        0.41666667  0.1         0.14285714
  0.44444444  0.75        0.625       0.4         0.68857143 -0.42307692
  0.65384615 -0.33333333  0.32222222]","[ 0.11275666 -0.08268363 -0.50471092 -0.13025205 -0.04518711 -0.21304426
  0.29029799 -0.01512759  0.4238605   0.56195574 -0.05471092  0.06671765
  0.31347089  0.15883724  0.44217552  0.20362241  0.13034655  0.46964805
 -0.31804426 -0.2535797   0.52195574  0.07862241 -0.23804426 -0.19518711
  0.10640019  0.41195574  0.28695574  0.06195574  0.35052717 -0.76112118
  0.3158019  -0.67137759 -0.01582204]","[ 0.  0. -1.  0.  0. -1.  1.  0.  1.  1.  0.  0.  1.  0.  1.  1.  0.  1.
 -1. -1.  1.  0. -1.  0.  0.  1.  1.  0.  1. -1.  1. -1.  0.]",0.36363636363636365,0.4242424242424242,0.21212121212121213
Quartz,[-0.03333333  0.3         0.29411765  0.27777778 -0.03478261],[-0.37137759 -0.03804426 -0.04392661 -0.06026648 -0.37282687],[-1.  0.  0.  0. -1.],0.0,0.6,0.4
