media,polarity,normalized_polarity,tags,pos,neu,neg
ABC News,"[ 0.5         0.35       -0.33333333  0.03333333  0.33333333 -0.06666667
  0.5         0.33333333 -0.66666667  0.5         0.21428571  0.1625
  1.          0.17703349 -0.52777778 -0.0075188   0.6         0.
 -0.29166667  0.58333333  0.33333333  0.22222222 -0.1804878   0.71428571
  0.8125      0.36538462 -0.5         0.55        0.85714286  1.
  0.4         0.18461538  0.8         0.41414141  0.75641026 -0.16666667
  0.72352941  0.05555556  0.18461538 -0.55555556  0.25        0.45454545
  0.55555556  0.75        0.01960784  0.88888889 -0.75        0.9
  0.75        0.6         0.025       0.43636364  0.31724138 -0.28571429
 -0.29444444  0.18128655  0.44047619 -0.11538462  0.22105263  0.5
  0.25        0.3125     -0.12962963  0.29545455  0.54545455 -1.
  0.83333333  0.41666667  0.5         0.6         0.06709957  0.72222222
  1.         -0.71428571  0.45648604  0.5         0.66666667  0.28787879
  0.08        0.90909091  0.68589744]","[ 2.11773943e-01  6.17739433e-02 -6.21559390e-01 -2.54892723e-01
  4.51072766e-02 -3.54892723e-01  2.11773943e-01  4.51072766e-02
 -9.54892723e-01  2.11773943e-01 -7.39403424e-02 -1.25726057e-01
  7.11773943e-01 -1.11192564e-01 -8.16003834e-01 -2.95744854e-01
  3.11773943e-01 -2.88226057e-01 -5.79892723e-01  2.95107277e-01
  4.51072766e-02 -6.60038345e-02 -4.68713862e-01  4.26059658e-01
  5.24273943e-01  7.71585587e-02 -7.88226057e-01  2.61773943e-01
  5.68916800e-01  7.11773943e-01  1.11773943e-01 -1.03610672e-01
  5.11773943e-01  1.25915357e-01  4.68184200e-01 -4.54892723e-01
  4.35303355e-01 -2.32670501e-01 -1.03610672e-01 -8.43781612e-01
 -3.82260567e-02  1.66319398e-01  2.67329499e-01  4.61773943e-01
 -2.68618214e-01  6.00662832e-01 -1.03822606e+00  6.11773943e-01
  4.61773943e-01  3.11773943e-01 -2.63226057e-01  1.48137580e-01
  2.90153226e-02 -5.73940342e-01 -5.82670501e-01 -1.06939507e-01
  1.52250134e-01 -4.03610672e-01 -6.71734251e-02  2.11773943e-01
 -3.82260567e-02  2.42739433e-02 -4.17855686e-01  7.22848874e-03
  2.57228489e-01 -1.28822606e+00  5.45107277e-01  1.28440610e-01
  2.11773943e-01  3.11773943e-01 -2.21126490e-01  4.33996166e-01
  7.11773943e-01 -1.00251177e+00  1.68259986e-01  2.11773943e-01
  3.78440610e-01 -3.47268837e-04 -2.08226057e-01  6.20864852e-01
  3.97671379e-01]","[ 1.  0. -1. -1.  0. -1.  1.  0. -1.  1.  0.  0.  1.  0. -1. -1.  1. -1.
 -1.  1.  0.  0. -1.  1.  1.  0. -1.  1.  1.  1.  0.  0.  1.  0.  1. -1.
  1. -1.  0. -1.  0.  0.  1.  1. -1.  1. -1.  1.  1.  1. -1.  0.  0. -1.
 -1.  0.  0. -1.  0.  1.  0.  0. -1.  0.  1. -1.  1.  0.  1.  1. -1.  1.
  1. -1.  0.  1.  1.  0. -1.  1.  1.]",0.38271604938271603,0.32098765432098775,0.2962962962962963
CBS News,"[ 0.          0.33333333  0.64593301  0.64661654  1.          0.55
  0.41666667  0.2        -0.92307692 -0.75       -0.5         0.
  0.5         0.66666667  1.          0.90909091  0.41666667  0.5
  0.33333333  0.2027972  -0.8         0.35714286 -0.66666667  0.5
  0.25        0.05128205  0.5         0.71428571 -0.03846154 -0.10416667
  0.71428571 -0.05555556  0.0952381  -1.          0.02941176  0.2984127
  0.46666667  0.         -0.2         0.24761905  0.41269841]","[-0.28822606  0.04510728  0.35770696  0.35839048  0.71177394  0.26177394
  0.12844061 -0.08822606 -1.21130298 -1.03822606 -0.78822606 -0.28822606
  0.21177394  0.37844061  0.71177394  0.62086485  0.12844061  0.21177394
  0.04510728 -0.08542885 -1.08822606  0.0689168  -0.95489272  0.21177394
 -0.03822606 -0.23694401  0.21177394  0.42605966 -0.3266876  -0.39239272
  0.42605966 -0.34378161 -0.19298796 -1.28822606 -0.25881429  0.01018664
  0.17844061 -0.28822606 -0.48822606 -0.04060701  0.12447236]","[-1.  0.  1.  1.  1.  1.  0.  0. -1. -1. -1. -1.  1.  1.  1.  1.  0.  1.
  0.  0. -1.  0. -1.  1.  0. -1.  1.  1. -1. -1.  1. -1.  0. -1. -1.  0.
  0. -1. -1.  0.  0.]",0.3170731707317073,0.31707317073170727,0.36585365853658536
CNN,"[ 0.05128205 -0.16666667  0.41818182  0.3        -0.16666667  0.55
  0.11428571  0.34299517  0.14        1.          0.66666667  0.45217391
  0.38636364  0.05454545  0.9         0.02917772  0.56730769  0.28571429
  0.88888889  0.9        -0.16666667  0.28050314  0.25595238  0.72857143
  0.12142857  0.02430556  0.14102564  0.00932401  0.46666667 -0.3
  0.4         0.53333333 -0.38888889]","[-0.23694401 -0.45489272  0.12995576  0.01177394 -0.45489272  0.26177394
 -0.17394034  0.05476911 -0.14822606  0.71177394  0.37844061  0.16394786
  0.09813758 -0.2336806   0.61177394 -0.25904834  0.27908164 -0.00251177
  0.60066283  0.61177394 -0.45489272 -0.00772291 -0.03227368  0.44034537
 -0.16679749 -0.2639205  -0.14720042 -0.27890205  0.17844061 -0.58822606
  0.11177394  0.24510728 -0.67711495]","[-1. -1.  0.  0. -1.  1.  0.  0.  0.  1.  1.  0.  0. -1.  1. -1.  1.  0.
  1.  1. -1.  0.  0.  1.  0. -1.  0. -1.  0. -1.  0.  1. -1.]",0.2727272727272727,0.42424242424242425,0.30303030303030304
Daily Beast,[-1.          0.13333333  0.        ],[-1.28822606 -0.15489272 -0.28822606],[-1.  0. -1.],0.0,0.33333333333333337,0.6666666666666666
Fox News,"[-0.00900901  0.45       -0.4122807  -0.15686275  0.75        0.53174603
  0.          0.66666667  0.71031746  0.63333333 -0.66666667 -0.63636364
 -0.35087719 -0.05555556 -0.21428571  0.54945055 -0.375       0.75
  0.8        -0.19047619 -0.16666667  0.54516129 -0.16666667  0.4
 -0.13450292]","[-0.29723507  0.16177394 -0.70050676 -0.4450888   0.46177394  0.24351998
 -0.28822606  0.37844061  0.4220914   0.34510728 -0.95489272 -0.92458969
 -0.63910325 -0.34378161 -0.50251177  0.26122449 -0.66322606  0.46177394
  0.51177394 -0.47870225 -0.45489272  0.25693523 -0.45489272  0.11177394
 -0.42272898]","[-1.  0. -1. -1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1.  1.
  1. -1. -1.  1. -1.  0. -1.]",0.36,0.07999999999999996,0.56
Huffington Post,"[ 0.4        -0.53846154 -0.65277778  1.          0.07142857  0.46969697
 -0.625       0.25146199 -0.8         0.09166667  0.64285714  0.17139526
  0.1        -0.21904762  0.54545455  0.5        -0.02173913 -1.
  0.125       0.1031746  -0.4         0.15238095  0.52941176  0.
  0.32773109  0.29166667  0.5         0.1010101   0.58333333  0.5
  0.02356902 -0.06060606  0.17826087  0.46666667  1.          0.5
  0.75        0.5         0.51325758  0.44155844 -0.4375      0.1
 -0.225       0.52083333  1.         -0.1         0.          0.67741935]","[ 0.11177394 -0.8266876  -0.94100383  0.71177394 -0.21679749  0.18147091
 -0.91322606 -0.03676407 -1.08822606 -0.19655939  0.35463109 -0.1168308
 -0.18822606 -0.50727368  0.25722849  0.21177394 -0.30996519 -1.28822606
 -0.16322606 -0.18505145 -0.68822606 -0.1358451   0.24118571 -0.28822606
  0.03950504  0.00344061  0.21177394 -0.18721596  0.29510728  0.21177394
 -0.26465703 -0.34883212 -0.10996519  0.17844061  0.71177394  0.21177394
  0.46177394  0.21177394  0.22503152  0.15333238 -0.72572606 -0.18822606
 -0.51322606  0.23260728  0.71177394 -0.38822606 -0.28822606  0.3891933 ]","[ 0. -1. -1.  1. -1.  0. -1.  0. -1.  0.  1.  0.  0. -1.  1.  1. -1. -1.
  0.  0. -1.  0.  1. -1.  0.  0.  1.  0.  1.  1. -1. -1.  0.  0.  1.  1.
  1.  1.  1.  0. -1.  0. -1.  1.  1. -1. -1.  1.]",0.3333333333333333,0.3333333333333334,0.3333333333333333
Los Angeles Times,"[ 0.15119363  0.58823529  0.10784314  0.44074074 -0.0952381  -0.02136752
  0.50179211  0.          0.31623932  0.09166667  0.71474359  1.
  0.2962963   0.29824561 -0.66666667  0.29545455  0.16589862  0.28275862
  0.84210526  0.33333333  0.2         0.10367893  0.6025641   0.59627329
  0.70588235  0.1         0.46153846  0.56084656  0.3030303   0.5
 -0.25        0.40022173  1.          0.44444444 -0.41666667  0.33333333
 -0.375       0.73333333  0.63333333  0.          0.48214286  0.40131579
  0.48888889  0.05        0.42857143 -0.35714286  0.14673913  0.48366013
 -0.2        -0.27777778 -0.0326087   1.          0.25641026  0.5
  0.16666667 -0.41666667  0.26666667  0.48148148 -0.44444444  0.54273504
  0.33333333  0.84210526 -0.17714286  0.21620012  1.          0.41666667
  0.5        -0.16666667  0.5        -0.16666667 -0.77777778  0.41666667
 -0.3         0.17497136  0.          0.5         0.5        -0.49425287
  0.31496919 -0.07142857  0.32183908  0.13049451  0.20606061  0.29166667
  0.1875     -0.18        0.25108225 -0.1969697   0.07407407  0.4047619
  0.66666667  0.91666667  0.1780303  -0.6         0.06666667  0.5125
  0.5        -0.43589744 -0.5         0.15        0.25        0.47058824
  0.83333333  0.47368421  0.875       0.85714286  0.30791789  0.375
  0.2        -0.125       0.3021978   0.18478261  0.49714286  0.05128205
  0.25        0.1         0.69852941  0.23809524  0.11818182  0.5       ]","[-0.13703242  0.30000924 -0.18038292  0.15251468 -0.38346415 -0.30959358
  0.21356606 -0.28822606  0.02801326 -0.19655939  0.42651753  0.71177394
  0.00807024  0.01001956 -0.95489272  0.00722849 -0.12232744 -0.00546744
  0.55387921  0.04510728 -0.08822606 -0.18454713  0.31433805  0.30804724
  0.4176563  -0.18822606  0.1733124   0.2726205   0.01480425  0.21177394
 -0.53822606  0.11199567  0.71177394  0.15621839 -0.70489272  0.04510728
 -0.66322606  0.44510728  0.34510728 -0.28822606  0.1939168   0.11308973
  0.20066283 -0.23822606  0.14034537 -0.64536891 -0.14148693  0.19543407
 -0.48822606 -0.56600383 -0.32083475  0.71177394 -0.0318158   0.21177394
 -0.12155939 -0.70489272 -0.02155939  0.19325542 -0.7326705   0.25450899
  0.04510728  0.55387921 -0.46536891 -0.07202594  0.71177394  0.12844061
  0.21177394 -0.45489272  0.21177394 -0.45489272 -1.06600383  0.12844061
 -0.58822606 -0.11325469 -0.28822606  0.21177394  0.21177394 -0.78247893
  0.02674314 -0.35965463  0.03361302 -0.15773155 -0.08216545  0.00344061
 -0.10072606 -0.46822606 -0.03714381 -0.48519575 -0.21415198  0.11653585
  0.37844061  0.62844061 -0.11019575 -0.88822606 -0.22155939  0.22427394
  0.21177394 -0.72412349 -0.78822606 -0.13822606 -0.03822606  0.18236218
  0.54510728  0.18545815  0.58677394  0.5689168   0.01969183  0.08677394
 -0.08822606 -0.41322606  0.01397175 -0.10344345  0.2089168  -0.23694401
 -0.03822606 -0.18822606  0.41030336 -0.05013082 -0.17004424  0.21177394]","[ 0.  1.  0.  0. -1. -1.  1. -1.  0.  0.  1.  1.  0.  0. -1.  0.  0.  0.
  1.  0.  0.  0.  1.  1.  1.  0.  0.  1.  0.  1. -1.  0.  1.  0. -1.  0.
 -1.  1.  1. -1.  0.  0.  1. -1.  0. -1.  0.  0. -1. -1. -1.  1.  0.  1.
  0. -1.  0.  0. -1.  1.  0.  1. -1.  0.  1.  0.  1. -1.  1. -1. -1.  0.
 -1.  0. -1.  1.  1. -1.  0. -1.  0.  0.  0.  0.  0. -1.  0. -1. -1.  0.
  1.  1.  0. -1. -1.  1.  1. -1. -1.  0.  0.  0.  1.  0.  1.  1.  0.  0.
  0. -1.  0.  0.  1. -1.  0.  0.  1.  0.  0.  1.]",0.275,0.4583333333333333,0.26666666666666666
NPR,"[ 0.74242424  0.33846154  0.5625     -0.16666667  0.85714286 -0.025
  0.08333333  0.67532468  0.25595238  1.          1.          0.22811671
  0.28        0.78571429  0.51557465  0.12941176  0.4         0.68923077
  0.28571429  0.02727273  0.15636364  0.82608696  0.37179487  0.72727273
  0.2         0.28282828]","[ 0.45419819  0.05023548  0.27427394 -0.45489272  0.5689168  -0.31322606
 -0.20489272  0.38709862 -0.03227368  0.71177394  0.71177394 -0.06010935
 -0.00822606  0.49748823  0.22734859 -0.15881429  0.11177394  0.40100471
 -0.00251177 -0.26095333 -0.13186242  0.5378609   0.08356882  0.43904667
 -0.08822606 -0.00539777]","[ 1.  0.  1. -1.  1. -1. -1.  1.  0.  1.  1.  0.  0.  1.  1.  0.  0.  1.
  0. -1.  0.  1.  0.  1.  0.  0.]",0.4230769230769231,0.423076923076923,0.15384615384615385
New York Post,"[ 0.75       -0.125      -0.5        -0.5        -0.625       0.
 -0.08333333  0.10064935  0.71428571 -0.31428571 -0.38888889  0.33333333
  1.         -0.6        -0.05       -0.5         0.175      -0.625
 -0.52380952  1.        ]","[ 0.46177394 -0.41322606 -0.78822606 -0.78822606 -0.91322606 -0.28822606
 -0.37155939 -0.18757671  0.42605966 -0.60251177 -0.67711495  0.04510728
  0.71177394 -0.88822606 -0.33822606 -0.78822606 -0.11322606 -0.91322606
 -0.81203558  0.71177394]","[ 1. -1. -1. -1. -1. -1. -1.  0.  1. -1. -1.  0.  1. -1. -1. -1.  0. -1.
 -1.  1.]",0.2,0.15000000000000002,0.65
Politico,"[ 0.45080092  0.25536062 -0.16666667  0.12820513  0.52517007 -0.47058824
  0.45454545  0.42857143  0.5         0.62413793  0.32539683 -0.375
 -0.2662037   0.29285714  0.125       0.62834225  0.38888889  0.4
  0.25568182 -0.8         0.56293706  0.65151515  0.32291667  0.8
  0.12454212  0.3125      0.0297619  -0.25        0.38461538  0.9
  0.57142857 -0.30769231  0.4968815   0.78947368  0.125      -0.33823529
 -0.85714286  0.19444444  0.5         0.375      -0.08333333  0.4683908
  0.41414141  0.80769231  0.18181818  0.41428571  0.2         0.5
  0.08446456  0.1         0.66666667 -0.40178571  0.4         0.33333333
  0.28793103  0.5         0.82352941  0.78409091  0.14285714  0.625
  0.43315508  0.44444444 -0.10887097  0.12745098  0.75        0.625
  0.05555556  0.71428571  0.23611111  0.397463    0.4         0.07502726
  0.3         0.5         0.18469786  0.2         0.33333333  0.4
  0.68857143  0.31428571  0.83333333  0.65384615 -0.33333333  0.60797852
  0.32222222  0.46153846  0.23776224 -0.26666667  0.24054054  0.33333333
  0.25705329  0.36904762 -0.5         0.5         0.27898551  0.45352564
  0.625     ]","[ 1.62574859e-01 -3.28654329e-02 -4.54892723e-01 -1.60020929e-01
  2.36944011e-01 -7.58814292e-01  1.66319398e-01  1.40345372e-01
  2.11773943e-01  3.35911874e-01  3.71707687e-02 -6.63226057e-01
 -5.54429760e-01  4.63108614e-03 -1.63226057e-01  3.40116189e-01
  1.00662832e-01  1.11773943e-01 -3.25442385e-02 -1.08822606e+00
  2.74711006e-01  3.63289095e-01  3.46906100e-02  5.11773943e-01
 -1.63683932e-01  2.42739433e-02 -2.58464152e-01 -5.38226057e-01
  9.63893279e-02  6.11773943e-01  2.83202515e-01 -5.95918364e-01
  2.08655440e-01  5.01247627e-01 -1.63226057e-01 -6.26461351e-01
 -1.14536891e+00 -9.37816123e-02  2.11773943e-01  8.67739433e-02
 -3.71559390e-01  1.80164748e-01  1.25915357e-01  5.19466251e-01
 -1.06407875e-01  1.26059658e-01 -8.82260567e-02  2.11773943e-01
 -2.03761502e-01 -1.88226057e-01  3.78440610e-01 -6.90011771e-01
  1.11773943e-01  4.51072766e-02 -2.95022233e-04  2.11773943e-01
  5.35303355e-01  4.95864852e-01 -1.45368914e-01  3.36773943e-01
  1.44929023e-01  1.56218388e-01 -3.97097024e-01 -1.60775076e-01
  4.61773943e-01  3.36773943e-01 -2.32670501e-01  4.26059658e-01
 -5.21149456e-02  1.09236945e-01  1.11773943e-01 -2.13198794e-01
  1.17739433e-02  2.11773943e-01 -1.03528201e-01 -8.82260567e-02
  4.51072766e-02  1.11773943e-01  4.00345372e-01  2.60596576e-02
  5.45107277e-01  3.65620097e-01 -6.21559390e-01  3.19752463e-01
  3.39961655e-02  1.73312405e-01 -5.04638190e-02 -5.54892723e-01
 -4.76855162e-02  4.51072766e-02 -3.11727652e-02  8.08215623e-02
 -7.88226057e-01  2.11773943e-01 -9.24054947e-03  1.65299584e-01
  3.36773943e-01]","[ 0.  0. -1.  0.  1. -1.  0.  0.  1.  1.  0. -1. -1.  0.  0.  1.  0.  0.
  0. -1.  1.  1.  0.  1.  0.  0. -1. -1.  0.  1.  1. -1.  1.  1.  0. -1.
 -1.  0.  1.  0. -1.  0.  0.  1.  0.  0.  0.  1. -1.  0.  1. -1.  0.  0.
  0.  1.  1.  1.  0.  1.  0.  0. -1.  0.  1.  1. -1.  1.  0.  0.  0. -1.
  0.  1.  0.  0.  0.  0.  1.  0.  1.  1. -1.  1.  0.  0.  0. -1.  0.  0.
  0.  0. -1.  1.  0.  0.  1.]",0.29896907216494845,0.5051546391752577,0.1958762886597938
