media,polarity,normalized_polarity,tags,pos,neu,neg
ABC News,"[-0.29166667  0.58333333  0.33333333  0.22222222 -0.1804878   0.71428571
  0.8125      0.36538462 -0.5         0.55        0.85714286  1.
  0.4         0.18461538  0.8         0.41414141  0.75641026 -0.16666667
  0.72352941  0.05555556  0.18461538 -0.55555556  0.25      ]","[-0.6150324   0.2599676   0.0099676  -0.10114352 -0.50385354  0.39091998
  0.48913426  0.04201888 -0.82336574  0.22663426  0.53377712  0.67663426
  0.07663426 -0.13875035  0.47663426  0.09077568  0.43304452 -0.4900324
  0.40016367 -0.26781018 -0.13875035 -0.87892129 -0.07336574]","[-1.  1.  0.  0. -1.  1.  1.  0. -1.  1.  1.  1.  0.  0.  1.  0.  1. -1.
  1. -1.  0. -1.  0.]",0.391304347826087,0.3478260869565218,0.2608695652173913
CBS News,"[ 0.66666667  1.          0.90909091  0.41666667  0.5         0.33333333
  0.2027972  -0.8       ]","[ 0.34330093  0.67663426  0.58572517  0.09330093  0.17663426  0.0099676
 -0.12056853 -1.12336574]",[ 1.  1.  1.  0.  0.  0.  0. -1.],0.375,0.5,0.125
CNN,"[0.11428571 0.34299517 0.14       1.         0.66666667 0.45217391
 0.38636364 0.05454545 0.9        0.02917772 0.56730769 0.28571429
 0.88888889]","[-0.20908002  0.01962943 -0.18336574  0.67663426  0.34330093  0.12880818
  0.0629979  -0.26882028  0.57663426 -0.29418802  0.24394195 -0.03765145
  0.56552315]",[-1.  0.  0.  1.  1.  0.  0. -1.  1. -1.  1.  0.  1.],0.38461538461538464,0.38461538461538464,0.23076923076923078
Fox News,[-0.15686275  0.75        0.53174603  0.          0.66666667  0.71031746],[-0.48022848  0.42663426  0.20838029 -0.32336574  0.34330093  0.38695172],[-1.  1.  1. -1.  1.  1.],0.6666666666666666,5.551115123125783e-17,0.3333333333333333
Huffington Post,"[-0.21904762  0.54545455  0.5        -0.02173913 -1.          0.125
  0.1031746  -0.4         0.15238095  0.52941176]","[-0.54241336  0.22208881  0.17663426 -0.34510487 -1.32336574 -0.19836574
 -0.22019113 -0.72336574 -0.17098479  0.20604603]",[-1.  1.  0. -1. -1.  0. -1. -1.  0.  1.],0.2,0.30000000000000004,0.5
Los Angeles Times,"[ 0.70588235  0.1         0.46153846  0.56084656  0.3030303   0.5
 -0.25        0.40022173  1.          0.44444444 -0.41666667  0.33333333
 -0.375       0.73333333  0.63333333  0.          0.48214286  0.40131579
  0.48888889  0.05        0.42857143 -0.35714286  0.14673913  0.48366013
 -0.2        -0.27777778 -0.0326087   1.          0.25641026  0.5
  0.16666667 -0.41666667  0.26666667  0.48148148 -0.44444444  0.54273504
  0.33333333  0.84210526 -0.17714286  0.21620012]","[ 0.38251662 -0.22336574  0.13817272  0.23748082 -0.02033543  0.17663426
 -0.57336574  0.07685599  0.67663426  0.12107871 -0.7400324   0.0099676
 -0.69836574  0.4099676   0.3099676  -0.32336574  0.15877712  0.07795005
  0.16552315 -0.27336574  0.10520569 -0.68050859 -0.17662661  0.16029439
 -0.52336574 -0.60114352 -0.35597443  0.67663426 -0.06695548  0.17663426
 -0.15669907 -0.7400324  -0.05669907  0.15811574 -0.76781018  0.21936931
  0.0099676   0.51873953 -0.50050859 -0.10716562]","[ 1. -1.  0.  1.  0.  0. -1.  0.  1.  0. -1.  0. -1.  1.  1. -1.  0.  0.
  0. -1.  0. -1.  0.  0. -1. -1. -1.  1.  0.  0.  0. -1.  0.  0. -1.  1.
  0.  1. -1.  0.]",0.2,0.47500000000000003,0.325
NPR,[1.         1.         0.22811671 0.28       0.78571429 0.51557465],[ 0.67663426  0.67663426 -0.09524903 -0.04336574  0.46234855  0.19220891],[1. 1. 0. 0. 1. 0.],0.5,0.5,0.0
New York Post,[-0.08333333  0.10064935  0.71428571 -0.31428571],[-0.40669907 -0.22271639  0.39091998 -0.63765145],[-1. -1.  1. -1.],0.25,0.0,0.75
Newsweek,[ 0.16666667 -0.02083333  0.35714286  0.28181818  0.53846154  0.01666667],[-0.15669907 -0.34419907  0.03377712 -0.04154756  0.2150958  -0.30669907],[ 0. -1.  0.  0.  1. -1.],0.16666666666666666,0.5,0.3333333333333333
Politico,"[-0.25        0.38461538  0.9         0.57142857 -0.30769231  0.4968815
  0.78947368  0.125      -0.33823529 -0.85714286  0.19444444  0.5
  0.375      -0.08333333  0.4683908   0.41414141  0.80769231  0.18181818
  0.41428571  0.2         0.5         0.08446456  0.1         0.66666667
 -0.40178571]","[-0.57336574  0.06124965  0.57663426  0.24806283 -0.63105805  0.17351576
  0.46610795 -0.19836574 -0.66160103 -1.18050859 -0.12892129  0.17663426
  0.05163426 -0.40669907  0.14502507  0.09077568  0.48432657 -0.14154756
  0.09091998 -0.12336574  0.17663426 -0.23890118 -0.22336574  0.34330093
 -0.72515145]","[-1.  0.  1.  1. -1.  0.  1.  0. -1. -1.  0.  0.  0. -1.  0.  0.  1.  0.
  0.  0.  0. -1. -1.  1. -1.]",0.2,0.48000000000000004,0.32
Quartz,[ 0.8         0.03636364  0.35555556  0.35507246 -0.3         0.3       ],[ 0.47663426 -0.2870021   0.03218982  0.03170673 -0.62336574 -0.02336574],[ 1. -1.  0.  0. -1.  0.],0.16666666666666666,0.5,0.3333333333333333
Slate Magazine,"[-0.34285714  0.83333333  0.3        -0.125      -0.18823529 -0.25
  0.36580882  0.58333333  0.90909091 -0.26666667 -0.00546448  0.75
  0.1         0.36467236]","[-0.66622288  0.5099676  -0.02336574 -0.44836574 -0.51160103 -0.57336574
  0.04244309  0.2599676   0.58572517 -0.5900324  -0.32883022  0.42663426
 -0.22336574  0.04130663]",[-1.  1.  0. -1. -1. -1.  0.  1.  1. -1. -1.  1. -1.  0.],0.2857142857142857,0.2142857142857143,0.5
TIME,"[0.45519713 1.         0.81818182 0.81818182 0.1875     0.19124424
 0.75       0.73763441 0.40277778 0.14782609]","[ 0.1318314   0.67663426  0.49481608  0.49481608 -0.13586574 -0.1321215
  0.42663426  0.41426867  0.07941204 -0.17553965]",[0. 1. 1. 1. 0. 0. 1. 1. 0. 0.],0.5,0.5,0.0
