media,polarity,normalized_polarity,tags,pos,neu,neg
ABC News,"[ 0.45454545  0.55555556  0.75        0.01960784 -0.75        0.9
  0.75        0.33333333  0.025       0.31724138 -0.28571429 -0.29444444
  0.44047619  0.05555556 -0.11538462  0.27272727  0.9         0.5
  0.5         0.3125     -0.12962963  0.29545455  0.54545455 -1.
  0.83333333  0.41666667  0.5         0.6         0.06709957  1.
 -0.71428571  0.45648604  0.5         0.66666667  0.28787879  0.08      ]","[ 0.1832993   0.2843094   0.47875384 -0.25163831 -1.02124616  0.62875384
  0.47875384  0.06208718 -0.24624616  0.04599522 -0.55696044 -0.5656906
  0.16923003 -0.2156906  -0.38663077  0.00148112  0.62875384  0.22875384
  0.22875384  0.04125384 -0.40087579  0.02420839  0.27420839 -1.27124616
  0.56208718  0.14542051  0.22875384  0.32875384 -0.20414659  0.72875384
 -0.98553187  0.18523989  0.22875384  0.39542051  0.01663263 -0.19124616]","[ 0.  1.  1. -1. -1.  1.  1.  0. -1.  0. -1. -1.  0. -1. -1.  0.  1.  1.
  1.  0. -1.  0.  1. -1.  1.  0.  1.  1. -1.  1. -1.  0.  1.  1.  0.  0.]",0.3888888888888889,0.3055555555555556,0.3055555555555556
CBS News,"[-0.66666667  0.3         0.5         0.25        0.05128205  0.71428571
  0.05       -0.03846154 -0.10416667 -0.45454545 -0.05555556  0.0952381
 -1.          0.02941176  0.2984127   0.          0.07142857]","[-0.93791282  0.02875384  0.22875384 -0.02124616 -0.2199641   0.44303956
 -0.22124616 -0.30970769 -0.37541282 -0.72579161 -0.32680171 -0.17600806
 -1.27124616 -0.24183439  0.02716654 -0.27124616 -0.19981758]",[-1.  0.  1.  0. -1.  1. -1. -1. -1. -1. -1.  0. -1. -1.  0. -1.  0.],0.11764705882352941,0.2941176470588235,0.5882352941176471
CNN,"[ 0.31818182  0.9         0.2962963  -0.16666667  0.28050314  0.25595238
  0.72857143  0.12142857  0.02430556  0.66666667  0.14102564  0.01488095
  0.00932401  0.46666667 -0.3         0.4         0.53333333  0.3826087
 -0.38888889]","[ 0.04693566  0.62875384  0.02505014 -0.43791282  0.00925699 -0.01529377
  0.45732527 -0.14981758 -0.2469406   0.39542051 -0.13022051 -0.2563652
 -0.26192215  0.19542051 -0.57124616  0.12875384  0.26208718  0.11136254
 -0.66013504]","[ 0.  1.  0. -1.  0.  0.  1.  0. -1.  1.  0. -1. -1.  0. -1.  0.  1.  0.
 -1.]",0.21052631578947367,0.4736842105263158,0.3157894736842105
Fox News,"[ 0.69230769  0.55555556 -0.63636364 -0.05555556  0.22105263 -0.21428571
  0.54945055  0.38172043 -0.375      -0.5        -0.16666667 -0.19047619
 -0.16666667  0.54516129 -0.16666667 -0.71428571  0.17857143  0.4
 -0.18181818]","[ 0.42106154  0.2843094  -0.90760979 -0.32680171 -0.05019352 -0.48553187
  0.27820439  0.11047427 -0.64624616 -0.77124616 -0.43791282 -0.46172235
 -0.43791282  0.27391513 -0.43791282 -0.98553187 -0.09267473  0.12875384
 -0.45306434]","[ 1.  1. -1. -1.  0. -1.  1.  0. -1. -1. -1. -1. -1.  1. -1. -1.  0.  0.
 -1.]",0.21052631578947367,0.21052631578947367,0.5789473684210527
Huffington Post,"[ 0.          0.32773109  0.29166667  0.5         0.1010101   0.5
  0.02356902 -0.06060606  0.46666667  1.          0.75        0.5
  0.51325758  0.44155844  0.1         0.52083333  1.         -0.1
  0.          0.67741935]","[-0.27124616  0.05648494  0.02042051  0.22875384 -0.17023605  0.22875384
 -0.24767713 -0.33185222  0.19542051  0.72875384  0.47875384  0.22875384
  0.24201142  0.17031229 -0.17124616  0.24958718  0.72875384 -0.37124616
 -0.27124616  0.4061732 ]","[-1.  0.  0.  1.  0.  1. -1. -1.  0.  1.  1.  1.  1.  0.  0.  1.  1. -1.
 -1.  1.]",0.45,0.30000000000000004,0.25
Los Angeles Times,"[ 0.41666667  0.5        -0.16666667  0.41666667  0.17497136  0.
  0.5         0.5        -0.49425287  0.31496919 -0.07142857  0.32183908
  0.13049451  0.20606061  0.29166667  0.1875      0.25108225  0.07407407
  0.4047619   0.66666667  0.1780303   0.06666667  0.5125      0.5
  0.15        0.25        0.47058824  0.83333333  0.875       0.85714286
  0.30791789  0.375      -0.125       0.3021978   0.1         0.69852941
  0.5       ]","[ 0.14542051  0.22875384 -0.43791282  0.14542051 -0.09627479 -0.27124616
  0.22875384  0.22875384 -0.76549903  0.04372304 -0.34267473  0.05059292
 -0.14075165 -0.06518555  0.02042051 -0.08374616 -0.0201639  -0.19717208
  0.13351575  0.39542051 -0.09321585 -0.20457949  0.24125384  0.22875384
 -0.12124616 -0.02124616  0.19934208  0.56208718  0.60375384  0.5858967
  0.03667173  0.10375384 -0.39624616  0.03095165 -0.17124616  0.42728326
  0.22875384]","[ 0.  1. -1.  0.  0. -1.  1.  1. -1.  0. -1.  0.  0.  0.  0.  0.  0.  0.
  0.  1.  0. -1.  1.  1.  0.  0.  0.  1.  1.  1.  0.  0. -1.  0.  0.  1.
  1.]",0.2972972972972973,0.5405405405405405,0.16216216216216217
NBC News,"[ 0.66666667  0.30555556  0.27058824  0.13333333  0.77380952 -0.04404762
  0.09655172  0.35144928  0.83333333 -0.875       0.375       0.08333333
 -0.33333333  0.0877193   0.08709677 -0.07142857  0.5         0.66666667
  0.6        -0.44444444  0.30555556  0.41666667  0.58333333  0.40740741
  0.16666667 -0.35       -0.11555556  1.          0.05555556  0.16666667
 -0.44117647  1.          0.75       -0.16666667 -0.16666667  0.40178571
  0.57142857  0.69230769  0.6         0.52380952 -0.06935909]","[ 3.95420511e-01  3.43093997e-02 -6.57920530e-04 -1.37912822e-01
  5.02563368e-01 -3.15293775e-01 -1.74694432e-01  8.02031195e-02
  5.62087178e-01 -1.14624616e+00  1.03753844e-01 -1.87912822e-01
 -6.04579489e-01 -1.83526858e-01 -1.84149382e-01 -3.42674727e-01
  2.28753844e-01  3.95420511e-01  3.28753844e-01 -7.15690600e-01
  3.43093997e-02  1.45420511e-01  3.12087178e-01  1.36161252e-01
 -1.04579489e-01 -6.21246156e-01 -3.86801711e-01  7.28753844e-01
 -2.15690600e-01 -1.04579489e-01 -7.12422626e-01  7.28753844e-01
  4.78753844e-01 -4.37912822e-01 -4.37912822e-01  1.30539558e-01
  3.00182416e-01  4.21061536e-01  3.28753844e-01  2.52563368e-01
 -3.40605243e-01]","[ 1.  0.  0.  0.  1. -1.  0.  0.  1. -1.  0.  0. -1.  0.  0. -1.  1.  1.
  1. -1.  0.  0.  1.  0.  0. -1. -1.  1. -1.  0. -1.  1.  1. -1. -1.  0.
  1.  1.  1.  1. -1.]",0.34146341463414637,0.3658536585365853,0.2926829268292683
Politico,"[ 0.4         0.33333333  0.28793103  0.5         0.82352941  0.78409091
  0.14285714  0.625       0.43315508  0.44444444 -0.10887097  0.75
  0.625       0.05555556  0.71428571  0.397463    0.4         0.3
  0.18469786  0.33333333  0.4         0.31428571  0.65384615  0.60797852
  0.46153846 -0.26666667  0.33333333  0.25705329  0.5         0.27898551
  0.45352564]","[ 0.12875384  0.06208718  0.01668488  0.22875384  0.55228326  0.51284475
 -0.12838901  0.35375384  0.16190892  0.17319829 -0.38011712  0.47875384
  0.35375384 -0.2156906   0.44303956  0.12621685  0.12875384  0.02875384
 -0.0865483   0.06208718  0.12875384  0.04303956  0.3826      0.33673236
  0.19029231 -0.53791282  0.06208718 -0.01419286  0.22875384  0.00773935
  0.18227949]","[ 0.  0.  0.  1.  1.  1.  0.  1.  0.  0. -1.  1.  1. -1.  1.  0.  0.  0.
  0.  0.  0.  0.  1.  1.  0. -1.  0.  0.  1.  0.  0.]",0.3225806451612903,0.5806451612903226,0.0967741935483871
Slate Magazine,"[ 0.35813953 -0.5         0.75        0.04395604  0.         -0.15
  0.25555556  0.75        0.28368794  0.48648649  0.5         0.
  0.04545455 -0.675      -0.03846154  0.40454545  0.40909091  0.1025641 ]","[ 0.08689338 -0.77124616  0.47875384 -0.22729011 -0.27124616 -0.42124616
 -0.0156906   0.47875384  0.01244179  0.21524033  0.22875384 -0.27124616
 -0.22579161 -0.94624616 -0.30970769  0.1332993   0.13784475 -0.16868205]",[ 0. -1.  1. -1. -1. -1.  0.  1.  0.  1.  1. -1. -1. -1. -1.  0.  0.  0.],0.2222222222222222,0.33333333333333337,0.4444444444444444
The Atlantic,"[ 0.42640076  0.06987788  0.26125331  0.17537894  0.35594406 -0.01085271
  0.28947368 -0.00277778  0.18538324  0.72465438  0.42494028  0.27527528
  0.28888889]","[ 0.1551546  -0.20136827 -0.00999285 -0.09586722  0.0846979  -0.28209887
  0.01822753 -0.27402393 -0.08586291  0.45340822  0.15369412  0.00402912
  0.01764273]",[ 0. -1.  0.  0.  0. -1.  0. -1.  0.  1.  0.  0.  0.],0.07692307692307693,0.6923076923076923,0.23076923076923078
